price,car name,variant,mileage,first registration,horse power
"€ 3,500.-",Fiat Punto,"1,4B*Italia sportedition!!REBUY**",135442,04/2012,77
"€ 3,500.-",Suzuki Swift,1.6 Sport Sitzheizung;Klimaanlage;Radio/CD,57998,07/2008,125
"€ 3,500.-",Fiat 500,project,55963,05/1967,-
"€ 3,500.-",BMW 320,3er Coupe Xenon Klimaauto. PDC Tüv+Insp. neu,213000,02/2000,150
"€ 3,550.-",Volkswagen Passat Variant,2.0 TDI Highline Leder Klima,267000,12/2006,140
"€ 3,590.-",Hyundai Getz,1.1 Basis,95500,03/2008,63
"€ 3,590.-",Hyundai Getz,Klima/elektrische FH/ZV/TÜV/ASU Neu,84990,02/2008,67
"€ 3,600.-",Volkswagen Golf,1600cc Benzine Nette wagen start en rijdt goed,247805,04/2008,102
"€ 3,600.-",Opel Tigra,"Cabrio 1,4I*AIRCO*VERWARMDE ZETELS*NAVI*REBUY*",124469,02/2005,90
"€ 3,600.-",Toyota Previa,2.4 Automatik 7-Sitze 17 Zoll Kliaauto.,195000,11/2005,156
"€ 3,650.-",Peugeot 308,95 VTI Filou SHZ~KLIMA~BC~ZV~TFL~ISOFIX~CD,98100,04/2010,95
"€ 3,670.-",Nissan Note,I-Way 1.5 dCI NAVI+AHK+LM+TEMPOMAT+ISOFIX+,166000,04/2010,103
"€ 3,680.-",Opel Tigra,Twin Top Sport 1.4 Klima 16''Alu Garantie,119660,03/2006,90
"€ 3,690.-",Citroen C4,VTi 120 VTR Plus+NAVI+BLUETOOTH+TMC+5-GANG+GE,105000,07/2009,120
"€ 3,698.-",Renault Twingo,1.2 YAHOO * KLIMA Klima,74100,12/2011,75
"€ 3,699.-",Hyundai i30,cw 1.6 Style,174000,05/2009,126
"€ 3,699.-",Honda Accord,"*KLIMA,PDC,LED,MFL,ISOFIX* 2.0 Comfort",174994,06/2004,155
"€ 3,750.-",Mercedes-Benz A 180,CDI Avantgarde+SHZ+KLIMA+TEILLEDER,184500,03/2008,109
"€ 3,750.-",Volkswagen Touran,"1,9 TDI 1.HD Goal Klima*Glasdach*PDC*6Gan",214500,07/2006,105
"€ 3,790.-",BMW 318,Navi/Sitzheizung/Beschreibung lesen!!!,185000,12/2004,143
"€ 3,790.-",Mercedes-Benz E 220,"Automatik, elektr. hub u. Schiebedach",231500,05/1994,150
"€ 3,800.-",Skoda Octavia,"2,0 TDI Combi RS Xenon Leder SHZG",184000,06/2008,170
